Date,Time,P_left,P_right,P_pipe,Q_left,Q_right,Q_pipe,VolumeL,VolumeR,VolumePipe,Qw,Dens_recirc,Dens_pipe,DesignIdx,StagesIdx,Design_desiredDens,VolumeLR,VolumeW,QVSource,Q_Slurry,Design_desiredSlurry,Design_Qw,CementValveSetValRecomend,CementValveOut,CementValveSetValMaxUser,Auto,PressAlarmVal,ValveGain,WaterSPGR,DensCement,CriteryDensChange,Dens_calculate,Q_LR,StageCode,V_org,Q_L_,Q_R_,Q_LR_,Q_,V_L_,V_R_,V_LR_,V_
12/20/2024,16:37:55,0.0,0.0,404.0,37.3,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,215.09,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,37.3,-1.0,0,37.3,0.0,37.3,0.0,0.0,0.0,215.09,-0.01
12/20/2024,16:37:56,0.0,0.0,404.0,37.3,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,215.13,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,37.3,-1.0,0,37.3,0.0,37.3,0.0,0.0,0.0,215.13,-0.01
12/20/2024,16:37:57,0.0,0.0,404.0,37.3,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,215.13,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,37.3,-1.0,0,37.3,0.0,37.3,0.0,0.0,0.0,215.13,-0.01
12/20/2024,16:37:58,0.0,0.0,404.0,37.3,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,215.2,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,37.3,-1.0,0,37.3,0.0,37.3,0.0,0.0,0.0,215.2,-0.01
12/20/2024,16:37:59,0.0,0.0,404.0,37.3,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,215.2,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,37.3,-1.0,0,37.3,0.0,37.3,0.0,0.0,0.0,215.2,-0.01
12/20/2024,16:38:0,0.0,0.0,404.0,37.3,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,215.27,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,37.3,-1.0,0,37.3,0.0,37.3,0.0,0.0,0.0,215.27,-0.01
12/20/2024,16:38:1,0.0,0.0,404.0,37.3,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,215.27,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,37.3,-1.0,0,37.3,0.0,37.3,0.0,0.0,0.0,215.27,-0.01
12/20/2024,16:38:2,0.0,0.0,404.0,37.3,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,215.35,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,37.3,-1.0,0,37.3,0.0,37.3,0.0,0.0,0.0,215.35,-0.01
12/20/2024,16:38:3,0.0,0.0,404.0,37.3,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,215.35,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,37.3,-1.0,0,37.3,0.0,37.3,0.0,0.0,0.0,215.35,-0.01
12/20/2024,16:38:4,0.0,0.0,404.0,37.3,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,215.42,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,37.3,-1.0,0,37.3,0.0,37.3,0.0,0.0,0.0,215.42,-0.01
12/20/2024,16:38:5,0.0,0.0,404.0,37.3,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,215.42,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,37.3,-1.0,0,37.3,0.0,37.3,0.0,0.0,0.0,215.42,-0.01
12/20/2024,16:38:6,0.0,0.0,404.0,37.3,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,215.5,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,37.3,-1.0,0,37.3,0.0,37.3,0.0,0.0,0.0,215.5,-0.01
12/20/2024,16:38:7,0.0,0.0,404.0,37.3,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,215.5,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,37.3,-1.0,0,37.3,0.0,37.3,0.0,0.0,0.0,215.5,-0.01
12/20/2024,16:38:8,0.0,0.0,404.0,37.3,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,215.57,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,37.3,-1.0,0,37.3,0.0,37.3,0.0,0.0,0.0,215.57,-0.01
12/20/2024,16:38:9,0.0,0.0,404.0,37.3,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,215.57,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,37.3,-1.0,0,37.3,0.0,37.3,0.0,0.0,0.0,215.57,-0.01
12/20/2024,16:38:10,0.0,0.0,404.0,37.3,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,215.65,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,37.3,-1.0,0,37.3,0.0,37.3,0.0,0.0,0.0,215.65,-0.01
12/20/2024,16:38:11,0.0,0.0,404.0,37.3,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,215.65,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,37.3,-1.0,0,37.3,0.0,37.3,0.0,0.0,0.0,215.65,-0.01
12/20/2024,16:38:12,0.0,0.0,404.0,37.3,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,215.72,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,37.3,-1.0,0,37.3,0.0,37.3,0.0,0.0,0.0,215.72,-0.01
12/20/2024,16:38:13,0.0,0.0,404.0,37.3,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,215.72,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,37.3,-1.0,0,37.3,0.0,37.3,0.0,0.0,0.0,215.72,-0.01
12/20/2024,16:38:14,0.0,0.0,404.0,37.3,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,215.8,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,37.3,-1.0,0,37.3,0.0,37.3,0.0,0.0,0.0,215.8,-0.01
12/20/2024,16:38:15,0.0,0.0,404.0,37.3,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,215.8,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,37.3,-1.0,0,37.3,0.0,37.3,0.0,0.0,0.0,215.8,-0.01
12/20/2024,16:38:16,0.0,0.0,404.0,37.3,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,215.83,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,37.3,-1.0,0,37.3,0.0,37.3,0.0,0.0,0.0,215.83,-0.01
12/20/2024,16:38:17,0.0,0.0,404.0,37.3,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,215.87,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,37.3,-1.0,0,37.3,0.0,37.3,0.0,0.0,0.0,215.87,-0.01
12/20/2024,16:38:18,0.0,0.0,404.0,37.3,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,215.95,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,37.3,-1.0,0,37.3,0.0,37.3,0.0,0.0,0.0,215.95,-0.01
12/20/2024,16:38:19,0.0,0.0,404.0,37.3,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,215.98,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,37.3,-1.0,0,37.3,0.0,37.3,0.0,0.0,0.0,215.98,-0.01
12/20/2024,16:38:20,0.0,0.0,404.0,37.3,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,216.02,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,37.3,-1.0,0,37.3,0.0,37.3,0.0,0.0,0.0,216.02,-0.01
12/20/2024,16:38:21,0.0,0.0,404.0,37.3,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,216.06,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,37.3,-1.0,0,37.3,0.0,37.3,0.0,0.0,0.0,216.06,-0.01
12/20/2024,16:38:22,0.0,0.0,404.0,37.3,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,216.1,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,37.3,-1.0,0,37.3,0.0,37.3,0.0,0.0,0.0,216.1,-0.01
12/20/2024,16:38:23,0.0,0.0,404.0,37.3,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,216.13,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,37.3,-1.0,0,37.3,0.0,37.3,0.0,0.0,0.0,216.13,-0.01
